Tx-Block ID,Timestamp,Sender,Receiver
,79.9816, FN1, FN13
,79.9816, FN13,['FN1']
,79.9822, FN13, FN1
,79.9822, FN1 (shard node),[]
,79.9822, FN1,['FN6']
,79.9832, FN1, FN6
,79.9832,[voted block], FN6 (Leader)
TB_FN6_986420,,,
,986.4200, FN6,['FN1']
,986.4204, FN6, FN1
,986.4204, FN1,"['FN13', 'FN0', 'FN12', 'FN10']"
,986.4210, FN1, FN12
,986.4211, FN1, FN13
,986.4214, FN1, FN0
,986.4216, FN1, FN10
,986.4216, FN10,['FN1']
,986.4221, FN10, FN1
,986.4221, FN1 (shard node),[]
,986.4221, FN1,['FN6']
,986.4232, FN1, FN6
,986.4232,[voted block], FN6 (Leader)
TB_FN6_559860,,,
,559.8600, FN6,['FN1']
,559.8606, FN6, FN1
,559.8606, FN1,"['FN13', 'FN0', 'FN12', 'FN10']"
,559.8612, FN1, FN10
,559.8615, FN1, FN12
,559.8617, FN1, FN0
,559.8620, FN1, FN13
,559.8620, FN13,['FN1']
,559.8627, FN13, FN1
,559.8627, FN1 (shard node),[]
,559.8627, FN1,['FN6']
,559.8636, FN1, FN6
,559.8636,[voted block], FN6 (Leader)
TB_FN6_293260,,,
,293.2600, FN6,['FN1']
,293.2606, FN6, FN1
,293.2606, FN1,"['FN13', 'FN0', 'FN12', 'FN10']"
,293.2607, FN1, FN12
,293.2611, FN1, FN10
,293.2616, FN1, FN13
,293.2618, FN1, FN0
,293.2618, FN0,['FN1']
,293.2625, FN0, FN1
,293.2625, FN1 (shard node),[]
,293.2625, FN1,['FN6']
,293.2631, FN1, FN6
,293.2631,[voted block], FN6 (Leader)
TB_FN6_239940,,,
,239.9400, FN6,['FN1']
,239.9407, FN6, FN1
,239.9407, FN1,"['FN13', 'FN0', 'FN12', 'FN10']"
,239.9410, FN1, FN12
,239.9412, FN1, FN10
,239.9417, FN1, FN0
,239.9418, FN1, FN13
,239.9418, FN13,['FN1']
,239.9424, FN13, FN1
,239.9424, FN1 (shard node),[]
,239.9424, FN1,['FN6']
,239.9434, FN1, FN6
,239.9434,[voted block], FN6 (Leader)
