+---------------+-----------+-----------------------------------------------------------------+---------------------------------+
|  Tx-Block ID  | Timestamp |                              Sender                             |             Receiver            |
|               |  826.4607 |                             Node FN1                            | ['FN10', 'FN13', 'FN12', 'FN0'] |
|               |  826.4610 |                                FN1                              |               FN10              |
|               |  826.4612 |                                FN1                              |               FN12              |
|               |  826.4615 |                                FN1                              |               FN13              |
|               |  826.4618 |                                FN1                              |                FN0              |
|               |  826.4618 |                             Node FN0                            |             ['FN1']             |
|               |  826.4621 |                                FN0                              |                FN1              |
|               |  826.4621 |                      Node FN1 (shard node)                      |                []               |
|               |  826.4621 |                             Node FN1                            |             ['FN6']             |
|               |  826.4631 |                                FN1                              |                FN6              |
|               |  826.4631 | .4631 : Node FN6 (Leader) received voted Tx-block TB_FN6_826460 |         Node FN6 (Leader)       |
| TB_FN6_506540 |           |                                                                 |                                 |
|               |  506.5400 |                             Node FN6                            |             ['FN1']             |
|               |  506.5404 |                                FN6                              |                FN1              |
|               |  506.5404 |                             Node FN1                            | ['FN10', 'FN13', 'FN12', 'FN0'] |
|               |  506.5407 |                                FN1                              |               FN10              |
|               |  506.5414 |                                FN1                              |               FN13              |
|               |  506.5416 |                                FN1                              |               FN12              |
|               |  506.5417 |                                FN1                              |                FN0              |
|               |  506.5417 |                             Node FN0                            |             ['FN1']             |
|               |  506.5421 |                                FN0                              |                FN1              |
|               |  506.5421 |                      Node FN1 (shard node)                      |                []               |
|               |  506.5421 |                             Node FN1                            |             ['FN6']             |
|               |  506.5432 |                                FN1                              |                FN6              |
|               |  506.5432 | .5432 : Node FN6 (Leader) received voted Tx-block TB_FN6_506540 |         Node FN6 (Leader)       |
| TB_FN6_613180 |           |                                                                 |                                 |
|               |  613.1800 |                             Node FN6                            |             ['FN1']             |
|               |  613.1805 |                                FN6                              |                FN1              |
|               |  613.1805 |                             Node FN1                            | ['FN10', 'FN13', 'FN12', 'FN0'] |
|               |  613.1813 |                                FN1                              |               FN12              |
|               |  613.1814 |                                FN1                              |               FN10              |
|               |  613.1815 |                                FN1                              |                FN0              |
|               |  613.1818 |                                FN1                              |               FN13              |
|               |  613.1818 |                            Node FN13                            |             ['FN1']             |
|               |  613.1824 |                               FN13                              |                FN1              |
|               |  613.1824 |                      Node FN1 (shard node)                      |                []               |
|               |  613.1824 |                             Node FN1                            |             ['FN6']             |
|               |  613.1836 |                                FN1                              |                FN6              |
|               |  613.1836 | .1836 : Node FN6 (Leader) received voted Tx-block TB_FN6_613180 |         Node FN6 (Leader)       |
| TB_FN6_453220 |           |                                                                 |                                 |
|               |  453.2200 |                             Node FN6                            |             ['FN1']             |
|               |  453.2206 |                                FN6                              |                FN1              |
|               |  453.2206 |                             Node FN1                            | ['FN10', 'FN13', 'FN12', 'FN0'] |
|               |  453.2216 |                                FN1                              |               FN13              |
|               |  453.2217 |                                FN1                              |               FN12              |
|               |  453.2217 |                                FN1                              |               FN10              |
|               |  453.2218 |                                FN1                              |                FN0              |
|               |  453.2218 |                             Node FN0                            |             ['FN1']             |
|               |  453.2222 |                                FN0                              |                FN1              |
|               |  453.2222 |                      Node FN1 (shard node)                      |                []               |
|               |  453.2222 |                             Node FN1                            |             ['FN6']             |
|               |  453.2230 |                                FN1                              |                FN6              |
|               |  453.2230 | .2230 : Node FN6 (Leader) received voted Tx-block TB_FN6_453220 |         Node FN6 (Leader)       |
| TB_FN6_719820 |           |                                                                 |                                 |
|               |  719.8200 |                             Node FN6                            |             ['FN1']             |
|               |  719.8204 |                                FN6                              |                FN1              |
|               |  719.8204 |                             Node FN1                            | ['FN10', 'FN13', 'FN12', 'FN0'] |
|               |  719.8207 |                                FN1                              |               FN12              |
|               |  719.8213 |                                FN1                              |                FN0              |
|               |  719.8213 |                                FN1                              |               FN10              |
|               |  719.8214 |                                FN1                              |               FN13              |
|               |  719.8214 |                            Node FN13                            |             ['FN1']             |
|               |  719.8218 |                               FN13                              |                FN1              |
|               |  719.8218 |                      Node FN1 (shard node)                      |                []               |
|               |  719.8218 |                             Node FN1                            |             ['FN6']             |
|               |  719.8229 |                                FN1                              |                FN6              |
|               |  719.8229 | .8229 : Node FN6 (Leader) received voted Tx-block TB_FN6_719820 |         Node FN6 (Leader)       |
| TB_FN6_986420 |           |                                                                 |                                 |
|               |  986.4200 |                             Node FN6                            |             ['FN1']             |
|               |  986.4205 |                                FN6                              |                FN1              |
|               |  986.4205 |                             Node FN1                            | ['FN10', 'FN13', 'FN12', 'FN0'] |
|               |  986.4207 |                                FN1                              |               FN10              |
|               |  986.4212 |                                FN1                              |               FN12              |
|               |  986.4214 |                                FN1                              |               FN13              |
|               |  986.4215 |                                FN1                              |                FN0              |
|               |  986.4215 |                             Node FN0                            |             ['FN1']             |
|               |  986.4220 |                                FN0                              |                FN1              |
|               |  986.4220 |                      Node FN1 (shard node)                      |                []               |
